"","N","Y","p","test"
"n","   367","    12","",""
"1975-2_Bilirubin, Total (mean (SD))","  4.87 (2.50)","  2.47 (1.21)"," 0.001",""
"4544-3_Hematocrit (mean (SD))"," 46.67 (6.49)"," 43.68 (7.21)"," 0.119",""
"704-7_Basophils (mean (SD))","  0.23 (0.55)","  0.33 (0.65)"," 0.543",""
"711-2_Eosinophils (mean (SD))","  1.85 (2.06)","  1.42 (1.62)"," 0.469",""
"718-7_Hemoglobin (mean (SD))"," 15.55 (2.23)"," 14.71 (2.13)"," 0.197",""
"731-0_Lymphocytes (mean (SD))"," 54.68 (20.25)"," 55.51 (20.16)"," 0.889",""
"742-7_Monocytes (mean (SD))","  7.55 (4.47)"," 10.25 (4.37)"," 0.040",""
"761-7_Neutrophils (mean (SD))"," 32.11 (18.49)"," 28.80 (16.61)"," 0.542",""
"777-3_Platelet Count (mean (SD))","236.71 (82.48)","226.50 (73.40)"," 0.673",""
"785-6_MCH (mean (SD))"," 37.95 (2.57)"," 40.29 (1.82)"," 0.002",""
"786-4_MCHC (mean (SD))"," 33.31 (1.00)"," 33.37 (1.20)"," 0.855",""
"787-2_MCV (mean (SD))","114.03 (8.05)","121.00 (7.66)"," 0.003",""
"788-0_RDW (mean (SD))"," 17.07 (1.48)"," 16.68 (1.83)"," 0.372",""
"789-8_Red Blood Cells (mean (SD))","  4.11 (0.60)","  3.66 (0.57)"," 0.011",""
"804-5_White Blood Cells (mean (SD))"," 10.19 (7.15)","  7.33 (3.94)"," 0.170",""
